Accession	Organism_Name	Species	Pangolin	PangoVersions	Genotype	Isolate	Length	Nuc_Completeness	Geo_Location	Country	Host	Organization	Org_location	Collection_Date	Molecule_type
OR098785	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.3	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SIRS_EPI_ISL_17719187	29724	partial	Bangladesh: Chattogram	Bangladesh	Homo sapiens	institute for developing Science and Health initiatives, ideSHi, Genomics and Bioinformatics	Bangladesh	2022-10-15	ssRNA(+)
OP090330	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		FP0256022	592	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-01-27	ssRNA(+)
OP090331	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		FP0257422	598	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-08	ssRNA(+)
OP090332	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		KH0100222	592	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-05	ssRNA(+)
OP090333	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		MS0071622	543	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-05	ssRNA(+)
OP090334	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		RB0052822	599	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-16	ssRNA(+)
OP090335	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		RP0512322	599	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-07	ssRNA(+)
OP090336	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		RS0542822	599	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-01-15	ssRNA(+)
OP090337	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		RS0546622	543	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-01-30	ssRNA(+)
OP090338	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		RS0547722	576	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-03	ssRNA(+)
OP090339	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		RS0549022	600	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-07	ssRNA(+)
OP090340	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	unclassifiable	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		SB0054422	603	partial	Bangladesh	Bangladesh	Homo sapiens	icddr, b, One Health Laboratory	Bangladesh	2022-02-07	ssRNA(+)
OQ075381	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-01-1019	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-29	ssRNA(+)
OQ075382	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2339	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-29	ssRNA(+)
OQ075383	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-09-0863	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-29	ssRNA(+)
OQ075384	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-01-1025	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-01	ssRNA(+)
OQ075385	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2353	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-01	ssRNA(+)
OQ075386	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1078	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-01	ssRNA(+)
OQ075387	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.8	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1082	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-01	ssRNA(+)
OQ075388	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1083	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-01	ssRNA(+)
OQ075389	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1084	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-01	ssRNA(+)
OQ075390	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-02-0913	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-02	ssRNA(+)
OQ075391	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2354	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-02	ssRNA(+)
OQ075392	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-05-1087	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-02	ssRNA(+)
OQ075393	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-01-1029	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-03	ssRNA(+)
OQ075394	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-05-1094	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-03	ssRNA(+)
OQ075395	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-09-0872	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-04	ssRNA(+)
OQ075396	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-05-1102	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-06	ssRNA(+)
OQ075397	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-05-1103	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-06	ssRNA(+)
OQ075398	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2380	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-08	ssRNA(+)
OQ075399	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1102	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-12	ssRNA(+)
OQ075400	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2414	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-13	ssRNA(+)
OQ075401	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-01-1057	29438	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-15	ssRNA(+)
OQ075402	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2417	29687	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-15	ssRNA(+)
OQ075403	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1114	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-15	ssRNA(+)
OQ075404	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-1116	29726	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-10-15	ssRNA(+)
OQ075405	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.8	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_09_0850	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-20	ssRNA(+)
OQ075406	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2295	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-21	ssRNA(+)
OQ075407	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2305	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-24	ssRNA(+)
OQ075408	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_02_0878	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-25	ssRNA(+)
OQ075409	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2311	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-25	ssRNA(+)
OQ075410	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2315	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-25	ssRNA(+)
OQ075411	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_05_1075	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-26	ssRNA(+)
OQ075412	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_02_0896	29724	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-28	ssRNA(+)
OQ075413	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2335	29724	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-28	ssRNA(+)
OQ075414	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2309	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-24	ssRNA(+)
OQ075415	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_04_2310	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-24	ssRNA(+)
OQ075416	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_06_1053	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-25	ssRNA(+)
OQ075417	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_01_1012	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-27	ssRNA(+)
OQ075418	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_02_0893	29724	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-28	ssRNA(+)
OQ075419	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_05_1077	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-28	ssRNA(+)
OQ075420	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	XBB.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb_TND_05_1082	29721	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-09-28	ssRNA(+)
OP390081	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.75.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-2046	29729	partial	Bangladesh: Dhaka	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-08-07	ssRNA(+)
OP164776	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-07-1525	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-14	ssRNA(+)
OP164777	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		ideSHi-IR-2986	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-13	ssRNA(+)
OP164778	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		ideSHi-IR-2989	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-13	ssRNA(+)
OP164779	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		ideSHi-IR-2991	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-14	ssRNA(+)
OP164780	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		ideSHi-IR-2993	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-15	ssRNA(+)
OP164781	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		ideSHi-IR-2995	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-17	ssRNA(+)
OP164782	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		ideSHi-IR-2998	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-18	ssRNA(+)
OP164783	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1538	29722	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-05-29	ssRNA(+)
OP164784	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1566	29722	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-04	ssRNA(+)
OP164785	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1606	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-13	ssRNA(+)
OP164786	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-01-0668	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-08	ssRNA(+)
OP164787	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-0758	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-14	ssRNA(+)
OP164788	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1623	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-16	ssRNA(+)
OP164789	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-0768	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-18	ssRNA(+)
OP164790	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-06-0770	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-18	ssRNA(+)
OP164791	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-09-0721	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-18	ssRNA(+)
OP164792	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1610	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-14	ssRNA(+)
OP164793	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1611	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-14	ssRNA(+)
OP164794	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BE.4	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1612	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-14	ssRNA(+)
OP164795	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.2	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-05-0773	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-15	ssRNA(+)
OP164796	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1625	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-16	ssRNA(+)
OP164797	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.5.3.1	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		icddrb-TND-04-1628	29723	partial	Bangladesh	Bangladesh	Homo sapiens	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Bangladesh	2022-06-16	ssRNA(+)
ON974872	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-37	29785	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
ON974873	Severe acute respiratory syndrome coronavirus 2	Betacoronavirus pandemicum	BA.2.10	4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6		BCSIR-BSMMU-39	29789	complete	Bangladesh	Bangladesh	Homo sapiens	Bangladesh Council of Scientific and Industrial Research, Genomic Research Laboratory	Bangladesh	2022-01-27	ssRNA(+)
